,institute,citation_count,article_count
1384,IMISE,1,5
1385,Computational Biomedicine Research Lab,1,3
1386,Charité,1,1
1387,IMIB-Arrixaca-UMU,1,2
1388,Hopital Europeen G Pompidou,1,1
1389,Fraunhofer Institute for Integrated Circuits IIS,1,3
1390,Columbia University Data Science Institution,1,1
1391,Fraunhofer Institute for Digital Media Technology,1,1
1392,Center for Theoretical Problems of Physico-chemical Pharmacology,1,1
1393,Biomedical Text Mining Group,1,1
1394,Fraunhofer Institute Biomedical Engineering,1,1
1395,Biomedical Research Institute of Murcia (IMIB-Arrixaca),1,1
1396,IMEC,1,1
1397,ESAT-STADIUS,1,1
1398,IIT Madras,1,1
1399,HES-SO Valais-Wallis,1,2
1400,Health EResearch Centre,1,1
1401,College of Medical Science & Technology,1,1
1402,CHU Pontchaillou,1,2
1403,B2 International Ltd.,1,1
1404,College of Health Science,1,1
1405,HES-SO/HEG Genève,1,2
1406,HESAV,1,1
1407,IEETA - Institute of Electronics and Telematics Engineering of Aveiro,1,2
1408,"CISMeF, GCSIS, TIBS, LITIS EA 4108",1,1
1409,EC DG XII Health Telematics,1,1
1410,INSERM U707,1,1
1411,Greater Manchester Academic Health Science Network,1,2
1412,Consellería de Sanidade,1,1
1413,Friedrich-Alexander Universität Erlangen-Nürnberg,1,1
1414,Andalusian Health Service,1,1
1415,Connected Health Cities,1,1
1416,Centre de Recherche sur les Soins et les Services de Première Ligne,1,1
1417,INSERM INRIA HeKA team,1,1
1418,INSERM ERM107,1,1
1419,Bispebjerg University Hospital,1,1
1420,Conceptia Oy,1,1
1421,CNHIM,1,1
1422,Chair of Technical Information Systems,1,1
1423,Dyson School of Engineering,1,1
1424,Biostatistics and Bioinformatics (DIM),1,1
1425,Aristotle University,1,1
1426,Computer Science Institute,1,2
1427,Artificial Intelligence Institute,1,1
1428,EA 2694,1,1
1429,Artificial Intelligence Laboratory,1,1
1430,"EA 3888, IFR 140, Faculté de Médecine",1,1
1431,CISPA Helmholtz Center for Information Security,1,1
1432,Centre de Pathologie,1,1
1433,Asia Pacific University,1,1
1434,INRIA Lille Nord Europe,1,1
1435,EA-2694,1,1
1436,Center for Statistics and Information Technology,1,1
1437,EA4324-ORPHY,1,1
1438,Grameen Communications,1,2
1439,IDIBAPS,1,1
1440,Fraser Health Authority,1,1
1441,Frankfurt Reference Center for Rare Diseases (FRZSE),1,1
1442,ICTEAM,1,2
1443,EuroMISE Center,1,2
1444,Federal Institute of Paraná,1,1
1445,"Chen Chi University, Taipei Medical University",1,1
1446,Hôpital Universitaire de Genève,1,2
1447,"Hôpital Universitaire Necker-Enfants malades, APHP",1,1
1448,Hôpital Tenon (Assistance Publique Hôpitaux de Paris),1,2
1449,"Clinic for Anesthesiology, Intensive Care Medicine, Pain Management and Palliative Medicine",1,1
1450,Bassetlaw Hospital and Community Services NHS Trust,1,1
1451,Clalit Health Service,1,1
1452,Hôpital Necker,1,1
1453,Bavarian Health and Food Safety Authority,1,1
1454,CHU Sainte-Justine Research Center,1,1
1455,Cheriton School of Computer Science,1,1
1456,City of Health and Science,1,1
1457,Federal Research Center 'Computer Science and Control' of RAS,1,1
1458,Biodonostia Health Research Institute,1,2
1459,Città della Salute e della Scienza di Torino,1,2
1460,Benguet State University,1,1
1461,Berkshire Healthcare NHS Foundation Trust,1,2
1462,CHU de Nîmes,1,1
1463,CHU de Lille,1,3
1464,Centre Hospitalier Universitaire de Liège,1,1
1465,Bielefeld University,1,4
1466,Epidemiological Cancer Registry of North Rhine-Westphalia,1,1
1467,Erasmus School of Health Policy & Management,1,2
1468,Erasmus University Medical Centre,1,2
1469,Federal University of Technology - Paraná,1,1
1470,CHU de la Cavale Blanche,1,1
1471,CHU Sainte-Justine,1,1
1472,Central Research Institute of Armament and Military Equipment of Armed Forces of Ukraine,1,1
1473,HL7 Foundation,1,2
1474,Frankfurt Reference Center for Rare Diseases,1,2
1475,BBMRI-ERIC,1,1
1476,Hospital Clínic de Barcelona,1,2
1477,ETRI,1,1
1478,IBMI,1,2
1479,EVALAB,1,2
1480,"EVALAB, CERIM",1,1
1481,Biomedical Neuroscience Institute (BNI),1,1
1482,Center of Health Informatics,1,1
1483,East Slovak Institute of Cardiovascular Diseases,1,1
1484,BIOTRAST S.A.,1,3
1485,Foundation for Research and Technology,1,1
1486,Cliniques Universitaires St Luc,1,1
1487,Central Manchester Healthcare Trust,1,1
1488,"European Centre for Medical Informatics, Statistics and Epidemiology-Cardio",1,1
1489,IBM Research - Zurich,1,1
1490,IBM Research - Watson,1,1
1491,Biomedical Engineering faculty,1,1
1492,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,1,2
1493,IBM,1,2
1494,Hospital Italiano,1,3
1495,Federal Institute for Risk Assessment,1,1
1496,"European Center for Medical Informatics, Statistics and Epidemiology",1,4
1497,Bakar Computational Health Sciences Institute,1,2
1498,Ehime University,1,3
1499,Clinical Investigation Center,1,1
1500,Amsterdam Public Health,1,3
1501,Dublin Institute of Technology,1,2
1502,Dräger Krankenhaus-Informationssysteme GmbH,1,1
1503,"German Association for Medical Informatics, Biometry and Epidemiology (GMDS) e. V.",1,1
1504,Cantonal Public Health Institute of Zenica,1,1
1505,German Cancer Research Center,1,3
1506,Center for Clinical Trials Leipzig (ZKSL),1,1
1507,Center for Disease Control and Prevention,1,1
1508,IT Center for Clinical Research (ITCR-L),1,1
1509,CAPIS Biomedical Research and Development Centre,1,1
1510,Deggendorf Institute of Technology,1,5
1511,ISB-SIB,1,1
1512,Cancer Research UK Manchester Institute,1,1
1513,Center for Health Services Research,1,1
1514,Heinrich-Heine-University,1,1
1515,Department of Applied Information Technology,1,1
1516,German Centre for Cardiovascular Research (DZHK),1,1
1517,AT4 wireless,1,1
1518,Center for Human Genetics,1,1
1519,FZI Forschungszentrum Informatik,1,3
1520,German Hearing Center,1,1
1521,IRISA - CNRS,1,1
1522,Center for Information and Communication Technologies,1,1
1523,"Canadian Centre on Disability Studies, Inc.",1,1
1524,"Absolute Information Age, Inc.",1,1
1525,Diagnostic and Research Institute of Pathology,1,1
1526,IRCCS Policlinico San Matteo,1,1
1527,Centre hospitalier de l'Université de Montréal Research Center,1,1
1528,CHRU Dijon,1,2
1529,German Association of Health IT Vendors - bvitg e.V.,1,1
1530,GGZ Oost Brabant,1,1
1531,Digital Enterprise Research Institute,1,1
1532,CERIM-EVALAB,1,2
1533,Danish Centre for Health Informatics,1,2
1534,Danish Centre of Health Informatics,1,1
1535,Centre for Measurement and Information in Medicine,1,1
1536,"Gammamed-Soft, Ltd",1,1
1537,Faculty of Automatics and Computers,1,1
1538,CeGaT GmbH,1,1
1539,5M ICT,1,1
1540,Data Integration Center,1,1
1541,A2ZI,1,1
1542,GSF-Forschungszentrum für Umwelt und Gesundheit,1,1
1543,Centre for Language Technology,1,1
1544,AHEPA University Hospital of Thessaloniki,1,1
1545,Imperial College Healthcare NHS Trust,1,1
1546,Centre for Health Systems and Safety Research,1,3
1547,Healthcare IT Solutions GmbH,1,1
1548,AKTIN-Research Group,1,1
1549,Centre for Research and Development Hellas,1,4
1550,HealthySystems LDA,1,1
1551,GOAL Global,1,1
1552,Faculty of Health/School of Medicine,1,2
1553,AOK Research Institute,1,1
1554,ITC SA,1,1
1555,Center for Biomedical Research,1,1
1556,AP-HP.Centre,1,1
1557,Georges Pompidou European University Hospital,1,1
1558,Broussais University Hospital,1,1
1559,Department of Veterans Affairs,1,4
1560,County Hospital,1,2
1561,INSERM UMRS 872 Eq. 20,1,1
1562,Hemophilia Federation of America,1,1
1563,"CRS4 - Center for Advanced Studies, Research and Development",1,1
1564,Agfa Healthcare,1,2
1565,Agfa Healthcare GmbH,1,1
1566,Bredesen Center for Data Science,1,1
1567,"INSERM, LIMICS",1,2
1568,CHU Grenoble Alpes,1,1
1569,Globant LLC,1,1
1570,"Fundación Vicomtech, Basque Research and Technology Alliance (BRTA)",1,1
1571,Alleanza Contro il Cancro,1,1
1572,Center for Modeling Biological Systems and Data Analysis,1,2
1573,Almazov National Medical Research Centre,1,1
1574,"Center for Medical Informatics, Health Services Research",1,1
1575,Center for Preventive Medicine and Digital Health,1,1
1576,"CNRS / TIMC-IMAG Lab., UMR 5525 (Themas)",1,1
1577,CNRS / TIMC-IMAG Lab.,1,1
1578,Ambulance Service,1,1
1579,Ambulante Beratungs- und Behandlungsstelle (AWO),1,1
1580,Amirkabir University,1,1
1581,CNR-ITBM,1,1
1582,HiGHmed Consortium,1,1
1583,Chair of Applied Cryptography,1,1
1584,Consiglio Nazionale delle Ricerche-ITBM,1,1
1585,INSERM U936,1,1
1586,Division of Endocrinology and Metabolism,1,1
1587,Bioassist S.A.,1,2
1588,Calgary Health Region,1,1
1589,Brigham and Women's Hospitals,1,1
1590,Cambio Health Systems,1,1
1591,CSEP,1,1
1592,Bristol Institute of Technology,1,1
1593,INTI International University,1,1
1594,IRCCS Istituto G. Gaslini,1,1
1595,G.E. Pukhov Institute for Modelling in Energy Engineering,1,1
1596,"Faculty of Medicine, Institute of Biomedical Informatics",1,1
1597,FORTH-ICS,1,2
1598,Dipartimento di Scienze Neurologiche,1,1
1599,German Record Linkage Center,1,1
1600,Centre National de Ressources et de Résilience Lille-Paris (CN2R),0,1
1601,Seoul National University College of Medicine,0,1
1602,Centre de Recherche en Santé de Nouna,0,1
1603,Centre de recherche du Centre Hospitalier Universitaire,0,1
1604,Sentensia Q,0,1
1605,Section on Medical Expert and Knowledge-Based Systems,0,1
1606,Centre de simulation en santé PRESAGE,0,1
1607,Centre for Interdisciplinary Research in Health,0,1
1608,Service de l'Information Médicale,0,1
1609,Service de Microbiologie,0,1
1610,Siemens,0,1
1611,Seegene Medical Foundation,0,2
1612,Centre Hospitalier de Saint-Amand-les-Eaux,0,1
1613,Centre de recherche en santé publique,0,1
1614,Sensotrend Oy,0,1
1615,Shuang Ho Hospital,0,1
1616,Centre for Health Planning and Management,0,2
1617,Seoul National University Hospital,0,1
1618,Centre d'imagerie scintigraphique,0,1
1619,Shounankai Social Medical Corporation,0,1
1620,Semfinder AG,0,1
1621,Service Centre Research,0,1
1622,Centre de Formation et de Recherche en Technologie Médicale,0,1
1623,Seoul St. Mary's Hospital,0,1
1624,Service Research Centre,0,1
1625,Centre for Ageing & Health,0,1
1626,Shiftec,0,1
1627,Semantic Technology Institute Innsbruck,0,1
1628,Centre Virchow-Villermé,0,1
1629,Shuang-Ho Hospital,0,2
1630,Sidney Kimmel Comprehensive Cancer Center,0,1
1631,Semmelweis University,0,2
1632,Centre for Health Informatics & Multiprofessional Education,0,1
1633,Centre for Environmental and Climate Science,0,2
1634,Centre for Health Information Services,0,1
1635,Centre for Applied Health and Psychological Research,0,1
1636,Infectious Diseases Research Centre,0,1
1637,Centre Hospitalier Universitaire de Nice,0,1
1638,Center for Research and Technology Hellas,0,2
1639,Storybook UX Ltd.,0,1
1640,Center for Instructional Technology and Training,0,1
1641,Stockholm University/Royal Institute of Technology,0,1
1642,Stevens Institute of Technology,0,1
1643,Steszgal Informationstechnologie GmbH,0,1
1644,Center for Integrated Oncology,0,2
1645,Center for Interdisciplinary Digital Research,0,1
1646,Steno Diabetes Center North,0,1
1647,Steno Diabetes Center,0,1
1648,Steinbeis University,0,1
1649,Steiermärkische Krankenanstaltengesellschaft m.b.H. (KAGes),0,1
1650,Center for Medical Data Science,0,3
1651,State Health Services Organization,0,1
1652,"Center for Medical Data Science, Institute of Artificial Intelligence",0,1
1653,Stanford Cancer Institute,0,1
1654,Stadtspital Zürich,0,1
1655,St. Luke's International University,0,1
1656,"Center for Medical Statistics, Informatics and Intelligent Systems",0,3
1657,St. John of God Hospital,0,1
1658,Strategic Global Counsel,0,2
1659,Sun Moon University,0,1
1660,Center for Health and Technology and Services Research - CINTESIS,0,1
1661,Szent István University,0,1
1662,TIMC-IMAG UMR CNRS 5525 Laboratory,0,1
1663,Casemix-CQT Zorg en Gezondheid,0,4
1664,TIM/ISSCO,0,1
1665,Center for Applied Intelligent Systems Research in Health,0,2
1666,Sørlandet Hospital Trust,0,1
1667,Center for Biomarker Research in Medicine,0,1
1668,Sør-Trøndelag University College,0,1
1669,São João Hospital Centre,0,1
1670,Syntho BV,0,1
1671,Swedish Institute for Drug Informatics (SIDI),0,1
1672,Syndi Health,0,1
1673,Synapse Research Management Partners,0,1
1674,Symbic GmbH,0,1
1675,Center for Biomedical Engineering and ehealth,0,2
1676,Center for Bionics and Pain Research,0,1
1677,Center for Clinical Informatics and Improvement Research,0,1
1678,Swedish School of Textiles,0,1
1679,Center for Health Technology and Service Research - CINTESIS,0,1
1680,St. Elisabeth Pflegezentrum gGmbH,0,1
1681,"St Philibert Hospital, GHICL",0,1
1682,Siemens Healthcare Diagnostics GmbH,0,1
1683,St John of God Hospital,0,1
1684,Center of Biomedical Informatics,0,1
1685,Center of Medical Information Science,0,1
1686,Central Biobank Erlangen,0,1
1687,Central Finland Health Care District,0,1
1688,Software ITC SA,0,1
1689,Software ITC S.A.,0,1
1690,Software ITC,0,3
1691,Société de Formation Thérapeutique du Généraliste (SFTG),0,1
1692,Social Insurance Institution of Finland (Kela),0,1
1693,Social Insurance Institution of Finland,0,1
1694,Smart Com d.o.o.,0,1
1695,CentraleSupélec,0,1
1696,Centre Hospitalier,0,1
1697,Skolkovo Institute of Science and Technology,0,1
1698,Centre Hospitalier Universitaire Rennes,0,1
1699,Singular Wings Medical Co. Ltd.,0,1
1700,Centre Hospitalier Universitaire Vaudois,0,1
1701,Sinai Health,0,2
1702,Sigma Technology,0,1
1703,Solgenium OG,0,1
1704,Center for Training and Research in Medical Technology,0,2
1705,Sorbonne Paris Cité,0,1
1706,Sowerby Centre for Health Informatics at Newcastle (SCHIN),0,1
1707,Sree Chitra Tirunal Institute for Medical Sciences and Technology,0,1
1708,Språkdata,0,1
1709,Spross Research Institute,0,1
1710,Center for Research in Health Technologies and Information Systems,0,1
1711,Specialized Hospital for Active Treatment of Children's Diseases,0,1
1712,Special Unit for Biomedical Research and Education,0,1
1713,Center for Scalable Data Analytics and Artificial Intelligence,0,1
1714,Center for Sepsis Control and Care,0,1
1715,Southern Health Board,0,1
1716,Sorbonne Université,0,4
1717,Center for Sustainable Healthcare,0,1
1718,Center for Telematics and Telemedicine GmbH,0,1
1719,South Eastern Area Laboratory Services,0,1
1720,South East European Research Centre,0,1
1721,South African Medical Research Council,0,1
1722,"Sorbonne Universités, INSERM Sorbonne Paris Cité, Université Paris 13, LIMICS, UMR_S 1142",0,1
1723,Centre for Medical Informatics,0,1
1724,"Sorbonne Université, CNRS, INSERM, ISIR",0,1
1725,Section for Medical Informatics in Anaesthesia and Intensive Care Medicine,0,1
1726,School of Engineering & Technology,0,1
1727,Centre for Person-Centred Care,0,1
1728,Centre for Pharmaceutical Research,0,1
1729,Rostov State Medical University,0,1
1730,Country Hosp.,0,1
1731,Romanian Society of Medical Informatics,0,1
1732,Romanian Society of Automation and Technical Informatics,0,1
1733,Romanian Society for Clinical Engineering and Medical Computing,0,2
1734,Romanian Medical Informatics Society,0,1
1735,Romanian Academy-Timisoara Branch,0,1
1736,Roman Hospital,0,1
1737,Croatian Health Insurance Fund,0,1
1738,Roessingh Center for Rehabilitation,0,1
1739,Rockefeller University,0,1
1740,Robokind - Robotics for Mankind Foundation,0,1
1741,Robert Koch Institute,0,2
1742,Croatian Institute of Public Health,0,1
1743,DAI Lab,0,1
1744,Ringholm GmbH Integration Consulting,0,2
1745,DFKI,0,2
1746,Rijnstate Hospital,0,6
1747,DIBET,0,1
1748,Reykjavik University,0,1
1749,Reutlingen University,0,1
1750,Reutlingen Research Institute,0,2
1751,DIBRIS,0,1
1752,Rotunda Hospital,0,1
1753,Cornell Tech,0,1
1754,Core Unit eHealth and Interoperability,0,1
1755,Computer Science Higher School,0,2
1756,Computational Bioscience Program,0,1
1757,Computer Center Lagakis,0,1
1758,SELIC,0,1
1759,SE Health,0,1
1760,SDU Health Informatics and Technology,0,1
1761,SDU Game Development and Learning Technology,0,1
1762,SCCH,0,1
1763,SBG Software und Beratung im Gesundheitswesen,0,1
1764,Computer Learning Research Centre,0,1
1765,"SAMU de Paris, Hôpital Necker - Enfants Malades, AP-HP",0,2
1766,SAFElab,0,1
1767,Core Unit Data Integration Center,0,3
1768,Computer Technology Institute (CTI),0,1
1769,"S. Maugeri Foundation, Rehabilitation Institute of Montescano",0,2
1770,Computer and Automation Research Institute,0,1
1771,Computing Centre,0,2
1772,Réseau Hospitalier Neuchâtelois,0,1
1773,Conexis,0,1
1774,Conselleria de Sanitat Universal i Salut Pública,0,1
1775,Consiglio Nazionale delle Ricerche,0,1
1776,Consorzio EDITH,0,1
1777,Coordination Office for the Initiative of GPBRNs - DESAM-ForNet,0,1
1778,DIETI,0,2
1779,Research Unit of Health Sciences and Technology,0,1
1780,Research Network Emergency and Intensive Care Medicine,0,1
1781,Rajabhat University,0,1
1782,Regional Center for Studies on the Development of the Information Society,0,1
1783,Region Stockholm,0,1
1784,DZHK (German Centre for Cardiovascular Research),0,2
1785,Real Academia Nacional de Medicina de España,0,1
1786,Daejeon University,0,1
1787,Rare Sense Inc,0,1
1788,Ramsay General de Santé,0,1
1789,Dalhousie University,0,4
1790,Danish Ageing Research Center,0,1
1791,Rajaie Cardiovascular Medical and Research Center,0,1
1792,Radboud University Nijmegen Medical Centre,0,1
1793,Regional Geriatric Program of Toronto,0,1
1794,Radboud University Medical Center,0,1
1795,RISE Research Institutes of Sweden,0,3
1796,Danish Center for Health Informatics,0,2
1797,RETINES Lab,0,3
1798,RETINES,0,1
1799,RETINE,0,2
1800,REMIT,0,1
1801,RECAINSA,0,1
1802,RAMIT,0,1
1803,QuickWeb Info SRL,0,1
1804,Regional Commission of Healthcare Delft Westland Oostland/Nieuwe Waterweg Noord,0,1
1805,Regional ICT-centre,0,1
1806,DIMES,0,1
1807,Research Center in Engineering and Management,0,1
1808,Research Institute of Computer Engineering,0,1
1809,Research Institute for Medicines and Pharmaceutical Sciences,0,2
1810,Research Institute for Informatics,0,3
1811,DIST,0,2
1812,DISTANCE consortium of the German Medical Informatics Initiative,0,1
1813,Research Institute for Aging,0,1
1814,DKFZ,0,1
1815,Research Group Digital Health,0,1
1816,Research Division for eHealth and Telemedicine,0,1
1817,DMAG,0,1
1818,Research Center L3S,0,1
1819,DZHK (German Center for Cardiovascular Research),0,1
1820,DMSC,0,1
1821,DSI Aerospace,0,1
1822,DSI Aerospace Technologie GmbH,0,1
1823,Republic of Korea Air Force,0,1
1824,DTU Informatics,0,1
1825,Reims University Hospital,0,1
1826,Rehabilitation Research Centre,0,1
1827,Rehabilitation Institute of Telese,0,1
1828,Regional University Hospital Center of Lille,0,1
1829,Regional Ministry of Health of Southern Spain,0,1
1830,Complejo Hospitalario Insular Materno-Infantil de Gran Canaria,0,1
1831,SINTEF AS,0,1
1832,Community Healthcare Center dr. Adolf Drolc,0,1
1833,Chang Jung Christian University,0,1
1834,Centro de Tecnología Biomédica,0,1
1835,Centro di Ricerca per l'Analisi dei Modelli e dell 'Informazione nei Sistemi Biomedici,0,1
1836,School of Information & Software Engineering,0,1
1837,Cerim,0,1
1838,Chair of Computer Science 5,0,1
1839,School of Health and Welfare,0,2
1840,Chamber of Economy Montenegro,0,1
1841,School of Health Professions,0,1
1842,School of Health Policy and Management,0,1
1843,Chang Gung University,0,1
1844,Charité - University Medicine Berlin,0,1
1845,Centro de Salud Mental Retiro & Hospital Gregorio Marañón,0,1
1846,Charité - Universitätsmedizin,0,2
1847,Charité Campus Virchow-Klinikum,0,1
1848,Carolina Health Informatics Program,0,1
1849,Charité-Universitätsmedizin Berlin,0,2
1850,School of Engineering,0,1
1851,Charles Drew University,0,1
1852,Charles University,0,1
1853,School of Economics,0,1
1854,"School of Computing, HIS R&D",0,2
1855,School of Computing and Mathematics,0,1
1856,"School of Information Systems, Computing and Mathematics",0,1
1857,Centro de Investigación Médica Aplicada (CIMA),0,1
1858,Chi Mei Medical Center,0,8
1859,Centre for Training and Research in Medical Technology,0,2
1860,Scientific Institute of Montescano,0,1
1861,Centre for Preclinical Research,0,1
1862,Sciensano,0,1
1863,Centre for Research & Development Hellas,0,1
1864,Schüchtermann-Klinik,0,1
1865,School of Statistics and Mathematics,0,1
1866,School of Social Science and Public Policy,0,1
1867,School of Social Policy & Practice,0,1
1868,Centre for Research and Technology-Hellas,0,1
1869,Centre for Research in Health Technologies and Information Systems,0,1
1870,School of Public Health Sciences,0,4
1871,School of Interdisciplinary Informatics,0,1
1872,Centre for Trauma Science,0,1
1873,Centre hospitalier Universitaire Vaudois (CHUV - UNIL),0,1
1874,Centre hospitalier de Compiègne,0,1
1875,School of Population and Global Health,0,1
1876,Centre of Excellence in Medical Device Regulations and Standards,0,1
1877,Centro Interdipart. di Ricerca per L'Analisi dei Modelli e dell'Informazione nei Sistemi Biomedici,0,1
1878,School of Nursing & Healthcare Leadership,0,1
1879,Centro Investigación Gestión e Ingeniería Producción,0,1
1880,Centro de Biotecnología y Genómica de Plantas UPM-INIA,0,1
1881,Centro de Especialistas en Sistemas de Información en Salud,0,1
1882,School of Computing and Information Systems,0,1
1883,Chi-Mei Medical Center,0,2
1884,ComTrade,0,1
1885,College of Business Administration,0,1
1886,Saint Etienne University Hospital,0,1
1887,Sahlgrenska University Hospital,0,3
1888,Sackler Faculty of Medicine,0,1
1889,Saarland University of Applied Science,0,1
1890,Sa.So Laboratory,0,1
1891,SWOG Cancer Research Network Statistics and Data Management Center,0,1
1892,Clínica de Familia La Romana,0,1
1893,STIM,0,1
1894,STAB VIDA,0,1
1895,"SSPIM /CIM 42/Université Jean Monnet, CHU Saint Etienne",0,1
1896,SRM Institute of Science and Technology,0,1
1897,Salford Health Informatics Research Environment (SHIRE),0,1
1898,College of Computer and Information Systems,0,1
1899,College of Dentistry,0,1
1900,College of Health and Medicine,0,1
1901,College of Nursing & Health Sciences,0,2
1902,SNOMED International,0,1
1903,Columbia University,0,1
1904,Columbia University Data Science Institute,0,1
1905,SLK Clinics GmbH,0,1
1906,SLC VA IDEAS Center of Innovation,0,1
1907,SINTEF Unimed,0,1
1908,Sainte Anne Hospital,0,1
1909,Clinical and Research Institute on Addictions,0,1
1910,Children Cancer Research Institute,0,1
1911,Saxion University of Applied Sciences,0,1
1912,Children's Hospital,0,1
1913,Children's Hospital Los Angeles,0,2
1914,Children's Hospital of Philadelphia,0,1
1915,Chinese Academy of Medical Sciences,0,1
1916,"Christian Hospital Melle, Niels Stensen Hospitals",0,1
1917,School of Biomedical Sciences,0,1
1918,Cineca Interuniversity Consortium,0,2
1919,CitiusTech Inc,0,1
1920,School of Architecture and Design,0,1
1921,City Emergency Hospital,0,1
1922,Satakunta Hospital District,0,2
1923,Clinical Studies Sweden,0,1
1924,Clinic of Social and Family Medicine,0,1
1925,Clinical Cancer Registry Lower Saxony,0,1
1926,Clinical Center Ljubljana,0,1
1927,Clinical Center of University of Sarajevo,0,1
1928,Clinical Centre of Montenegro,0,1
1929,Samsung SDS,0,1
1930,Samsung Medical Center,0,3
1931,Samsung Advanced Institute for Health Science & Technology,0,3
1932,Clinical Institute,0,1
1933,Clinical Operational Research Unit,0,1
1934,Casa di Cura Igea,0,1
1935,The Bridge Foundation,0,2
1936,Carl von Ossietzky University of Oldenburg,0,1
1937,BIOCAD,0,1
1938,Universität Bielefeld,0,1
1939,Azienda Ospedaliera,0,1
1940,Università degli studi di Firenze,0,1
1941,Università degli Studi di Torino,0,1
1942,University of the Aegean,0,1
1943,University of Verona,0,1
1944,University of Tsukuba Hospital,0,1
1945,University of Tsukuba,0,1
1946,B2i Healthcare,0,1
1947,University of Trieste,0,1
1948,BBMRI ERIC,0,1
1949,BIOCOM Argentina,0,1
1950,Upstream Dream AB,0,1
1951,University of Tampere,0,1
1952,University of Skövde,0,1
1953,BIOTRAST,0,1
1954,University of Rennes 1,0,1
1955,University of Porto,0,1
1956,University of Piraeus Research Centre,0,1
1957,BIOTRAST s.a.,0,1
1958,University of Oulu,0,2
1959,University of Ontario Institute of Technology,0,1
1960,University of Oklahoma,0,1
1961,University of Nebraska Medical Center,0,1
1962,Universität Heidelberg,0,1
1963,Universitäts- und Rehabilitationskliniken Ulm gGmbH,0,1
1964,Universitäts-Hautklinik,0,1
1965,Universitätskliniken des Saarlandes,0,1
1966,Uppsala Academic Hospital,0,1
1967,Unparallel Innovation,0,1
1968,Asan Medical Center,0,3
1969,Assistance Publique - Hôpitaux de Paris,0,1
1970,Assistance Publique Hôpitaux de Paris,0,1
1971,Université Sorbonne Paris Nord,0,1
1972,Assistance Publique des Hôpitaux de Marseille,0,2
1973,Atacama blooms GmbH & Co. KG,0,2
1974,Université Paris-Descartes,0,1
1975,Université Paris Cité,0,1
1976,Université Paris 5 R. Descartes,0,1
1977,Athena Research Center,0,1
1978,"Athena-Research and Innovation Center in Information, Communication and Knowledge Technologies",0,1
1979,Université NAZI BONI,0,1
1980,Université Lille2,0,1
1981,Athens Medical Society,0,1
1982,Université Gaston Berger,0,2
1983,Atlantic Partnership for Tomorrow's Health (PATH),0,1
1984,Universitätsmedizin Mainz,0,1
1985,Universitätsklinikum Würzburg,0,1
1986,Atos Spain,0,1
1987,Atreus Health,0,1
1988,Universitätsklinikum Köln,0,1
1989,University of Münster Medical Center,0,1
1990,BQS Institute for Quality & Patient Safety GmbH,0,1
1991,BRAINDEX,0,1
1992,BiTeM Group,0,1
1993,BioAssist S.A.,0,3
1994,University Medical Centre Maribor,0,1
1995,BioM Biotech Cluster Development GmbH,0,1
1996,University Medical Centre Groningen,0,1
1997,Biobank under administration of HTCR,0,1
1998,Biocruces Bizkaia Health Research Institute,0,1
1999,University Medical Center Utrecht,0,2
2000,University Medical Center Ljubljana,0,2
2001,Bioinformatics Research Technology Platform,0,1
2002,Biological Sciences Biosciences Institute,0,1
2003,University Medical Center Goettingen,0,1
2004,University Medical Center,0,2
2005,University La Sapienza,0,1
2006,Biomedical Data Science Center,0,2
2007,Biomedical Engineering Laboratory,0,2
2008,University Hospitals Leuven KU,0,1
2009,University Hospitals Leuven,0,1
2010,Biomedical Engineering Research Centre,0,1
2011,University Hospital of Tours,0,1
2012,University Hospital of Strasbourg,0,2
2013,Biomedical Informatics and Digital Health,0,1
2014,Biomedical Informatics and Medical Education,0,1
2015,University Hospital of Nancy,0,1
2016,University Politehnica Timisoara,0,1
2017,BiTeM,0,1
2018,University of Maribor,0,1
2019,Berlin Institute of Health (BIH),0,1
2020,University of Manchester,0,2
2021,BVMed - German Medical Technology Association,0,1
2022,Bambino Gesù Children Hospital,0,1
2023,University of Heidelberg,0,1
2024,Ban Yang Sub-district Health Promoting Hospital,0,1
2025,University of Gothenburg,0,1
2026,Barcelona Supercomputing Center,0,3
2027,University of Genova,0,2
2028,Barcelona Supercomputing Center (BSC),0,1
2029,University of Eastern Finland,0,2
2030,Barwon Health,0,1
2031,University of Cyprus,0,2
2032,University of Crete Medical School,0,1
2033,University of Central Lancashire,0,1
2034,Bavarian Cancer Research Center (BZKF),0,1
2035,Beaumont Hospital,0,1
2036,University of Borås,0,1
2037,Beheshti University of Tehran,0,1
2038,Beijing Language and Culture University,0,1
2039,Ben-Gurion University,0,3
2040,Ben-Gurion University of the Negev,0,3
2041,University hospitals of Geneva,0,1
2042,University hospital of Saint-Etienne,0,1
2043,Uppsala Monitoring Centre,0,1
2044,Areteion University Hospital,0,1
2045,TMF e.V.,0,1
2046,ASST Papa Giovanni XXIII Hospital,0,1
2047,APHP,0,1
2048,Zentrum für Innere Medizin,0,1
2049,Zentrum für Frauenheilkunde und Geburtshilfe,0,1
2050,Zentricx,0,1
2051,APHP-CUP,0,1
2052,APHYCARE Technologies,0,1
2053,APREC,0,4
2054,ARCTUR,0,1
2055,ARIA,0,1
2056,Yonsei University,0,2
